,SICcode,Catcode,Category,SICname,MultSIC,2012 NAICS Code,2002to2007 NAICS
553,2796,C1300,Commercial printing & typesetting,Platemaking and related services,X,323120.0,323122.0
554,2812,M1000,Chemicals,Alkalies and chlorine,X,325180.0,325181.0
555,2813,M1000,Chemicals,Industrial gases,X,325120.0,325120.0
556,2816,M1000,Chemicals,Inorganic pigments,X,325130.0,325131.0
557,2816,M1000,Chemicals,Inorganic pigments,X,325180.0,325182.0
558,2819,M1000,Chemicals,"Industrial inorganic chemicals, NEC",X,211112.0,211112.0
559,2819,M1000,Chemicals,"Industrial inorganic chemicals, NEC",X,325130.0,325131.0
560,2819,M1000,Chemicals,"Industrial inorganic chemicals, NEC",X,325180.0,325188.0
561,2819,M1000,Chemicals,"Industrial inorganic chemicals, NEC",X,325998.0,325998.0
562,2819,M1000,Chemicals,"Industrial inorganic chemicals, NEC",X,331313.0,331311.0
563,2821,M1500,Plastics & Rubber processing & products,Plastics materials and resins,X,325211.0,325211.0
564,2822,M1500,Plastics & Rubber processing & products,Synthetic rubber,X,325212.0,325212.0
565,2823,M1400,Manmade fibers,Cellulosic manmade fibers,X,325220.0,325221.0
566,2824,M1400,Manmade fibers,"Organic fibers, noncellulosic",X,325220.0,325222.0
567,2833,H4300,Pharmaceutical manufacturing,Medicinals and botanicals,X,325411.0,325411.0
568,2834,H4300,Pharmaceutical manufacturing,Pharmaceutical preparations,X,325412.0,325412.0
569,2835,H4300,Pharmaceutical manufacturing,Diagnostic substances,X,325412.0,325412.0
570,2835,H4300,Pharmaceutical manufacturing,Diagnostic substances,X,325413.0,325413.0
571,2836,H4300,Pharmaceutical manufacturing,"Biological products, exc diagnostic",X,325414.0,325414.0
572,2841,M1300,Household cleansers & chemicals,Soap and other detergents,X,325611.0,325611.0
573,2842,M1300,Household cleansers & chemicals,Polishes and sanitation goods,X,325612.0,325612.0
574,2843,M1000,Chemicals,Surface active agents,X,325613.0,325613.0
575,2844,M3300,Toiletries & cosmetics,Toilet preparations,,325611.0,325611.0
576,2844,M3300,Toiletries & cosmetics,Toilet preparations,,325620.0,325620.0
577,2851,M1600,"Paints, Solvents and Coatings",Paints and allied products,X,325510.0,325510.0
578,2861,M1000,Chemicals,Gum and wood chemicals,X,325194.0,325191.0
579,2865,M1000,Chemicals,Cyclic crudes and intermediates,X,325110.0,325110.0
580,2865,M1000,Chemicals,Cyclic crudes and intermediates,X,325130.0,325132.0
581,2865,M1000,Chemicals,Cyclic crudes and intermediates,X,325194.0,325192.0
582,2869,M1000,Chemicals,"Industrial organic chemicals, NEC",X,325110.0,325110.0
583,2869,M1000,Chemicals,"Industrial organic chemicals, NEC",X,325120.0,325120.0
584,2869,M1000,Chemicals,"Industrial organic chemicals, NEC",X,325180.0,325188.0
585,2869,M1000,Chemicals,"Industrial organic chemicals, NEC",X,325193.0,325193.0
586,2869,M1000,Chemicals,"Industrial organic chemicals, NEC",X,325194.0,325192.0
587,2869,M1000,Chemicals,"Industrial organic chemicals, NEC",X,325199.0,325199.0
588,2869,M1000,Chemicals,"Industrial organic chemicals, NEC",X,325998.0,325998.0
589,2873,A4100,Agricultural chemicals (fertilizers & pesticides),Nitrogenous fertilizers,X,325311.0,325311.0
590,2874,A4100,Agricultural chemicals (fertilizers & pesticides),Phosphatic fertilizers,X,325312.0,325312.0
591,2875,A4100,Agricultural chemicals (fertilizers & pesticides),"Fertilizers, mixing only",X,325314.0,325314.0
592,2879,A4100,Agricultural chemicals (fertilizers & pesticides),"Agricultural chemicals, NEC",X,325320.0,325320.0
593,2891,M1700,Adhesives & Sealants,Adhesives and sealants,,325520.0,325520.0
594,2892,M1100,Explosives,Explosives,,325920.0,325920.0
595,2893,M1000,Chemicals,Printing ink,X,325910.0,325910.0
596,2895,M1000,Chemicals,Carbon black,X,325180.0,325182.0
597,2899,M1000,Chemicals,"Chemical preparations, NEC",X,311942.0,311942.0
598,2899,M1000,Chemicals,"Chemical preparations, NEC",X,325199.0,325199.0
599,2899,M1000,Chemicals,"Chemical preparations, NEC",X,325510.0,325510.0
600,2899,M1000,Chemicals,"Chemical preparations, NEC",X,325998.0,325998.0
601,2911,E1160,Petroleum refining & marketing,Petroleum refining,X,324110.0,324110.0
602,2951,B5100,"Stone, clay, glass & concrete products",Asphalt paving mixtures and blocks,X,324121.0,324121.0
603,2952,B5000,Building materials,Asphalt felts and coatings,X,324122.0,324122.0
604,2992,E1160,Petroleum refining & marketing,Lubricating oils and greases,X,324191.0,324191.0
605,2999,E1160,Petroleum refining & marketing,"Petroleum and coal products, NEC",X,324199.0,324199.0
606,3011,M1500,Plastics & Rubber processing & products,Tires and inner tubes,X,326211.0,326211.0
607,3021,M3200,Shoes & leather products,Rubber and plastics footwear,X,316210.0,316211.0
608,3052,M1500,Plastics & Rubber processing & products,Rubber & plastics hose & belting,X,326220.0,326220.0
609,3053,M2300,Industrial/commercial equipment & materials,"Gaskets,packing, and sealing devices",X,339991.0,339991.0
610,3061,M1500,Plastics & Rubber processing & products,Mechanical rubber goods,X,326291.0,326291.0
611,3069,M1500,Plastics & Rubber processing & products,"Fabricated rubber products, NEC",X,313320.0,313320.0
612,3069,M1500,Plastics & Rubber processing & products,"Fabricated rubber products, NEC",X,314910.0,314911.0
613,3069,M1500,Plastics & Rubber processing & products,"Fabricated rubber products, NEC",X,315280.0,315299.0
614,3069,M1500,Plastics & Rubber processing & products,"Fabricated rubber products, NEC",X,315990.0,315999.0
615,3069,M1500,Plastics & Rubber processing & products,"Fabricated rubber products, NEC",X,326199.0,326192.0
616,3069,M1500,Plastics & Rubber processing & products,"Fabricated rubber products, NEC",X,326299.0,326299.0
617,3069,M1500,Plastics & Rubber processing & products,"Fabricated rubber products, NEC",X,339113.0,339113.0
618,3069,M1500,Plastics & Rubber processing & products,"Fabricated rubber products, NEC",X,339920.0,339920.0
619,3069,M1500,Plastics & Rubber processing & products,"Fabricated rubber products, NEC",X,339930.0,339932.0
620,3081,M1500,Plastics & Rubber processing & products,Unsupported plastics film and sheet,X,326113.0,326113.0
621,3082,M1500,Plastics & Rubber processing & products,Unsupported plastics profile shapes,X,326121.0,326121.0
622,3083,M1500,Plastics & Rubber processing & products,Laminated plate & sheet,X,326130.0,326130.0
623,3084,M1500,Plastics & Rubber processing & products,Plastics pipe,X,326122.0,326122.0
624,3085,M1500,Plastics & Rubber processing & products,Plastics bottles,X,326160.0,326160.0
625,3086,M1500,Plastics & Rubber processing & products,Plastics foam products,X,326140.0,326140.0
626,3086,M1500,Plastics & Rubber processing & products,Plastics foam products,X,326150.0,326150.0
627,3087,M1500,Plastics & Rubber processing & products,Custom compound purchased resins,X,325991.0,325991.0
628,3088,M1500,Plastics & Rubber processing & products,Plastics plumbing fixtures,X,326191.0,326191.0
629,3089,M1500,Plastics & Rubber processing & products,"Plastics products, NEC",X,326121.0,326121.0
630,3089,M1500,Plastics & Rubber processing & products,"Plastics products, NEC",X,326122.0,326122.0
631,3089,M1500,Plastics & Rubber processing & products,"Plastics products, NEC",X,326199.0,326199.0
632,3089,M1500,Plastics & Rubber processing & products,"Plastics products, NEC",X,337215.0,337215.0
633,3089,M1500,Plastics & Rubber processing & products,"Plastics products, NEC",X,339113.0,339113.0
634,3111,M3200,Shoes & leather products,Leather tanning and finishing,X,316110.0,316110.0
635,3131,M3200,Shoes & leather products,Footwear cut stock,X,316998.0,316999.0
636,3131,M3200,Shoes & leather products,Footwear cut stock,X,321999.0,321999.0
637,3131,M3200,Shoes & leather products,Footwear cut stock,X,339993.0,339993.0
638,3142,M3200,Shoes & leather products,House slippers,X,316210.0,316212.0
639,3143,M3200,Shoes & leather products,"Men's footwear, except athletic",X,316210.0,316213.0
640,3144,M3200,Shoes & leather products,"Women's footwear, except athletic",X,316210.0,316214.0
641,3149,M3200,Shoes & leather products,"Footwear, except rubber, NEC",X,316210.0,316219.0
642,3151,M3200,Shoes & leather products,Leather gloves and mittens,X,315210.0,315211.0
643,3151,M3200,Shoes & leather products,Leather gloves and mittens,X,315210.0,315212.0
644,3151,M3200,Shoes & leather products,Leather gloves and mittens,X,315990.0,315992.0
645,3161,M3000,Personal products manufacturing,Luggage,X,316998.0,316991.0
646,3171,M3000,Personal products manufacturing,Women's handbags and purses,X,316992.0,316992.0
647,3172,M3200,Shoes & leather products,"Personal leather goods, NEC",X,316998.0,316993.0
648,3172,M3200,Shoes & leather products,"Personal leather goods, NEC",X,339910.0,339914.0
649,3199,M3200,Shoes & leather products,"Leather goods, NEC",X,316998.0,316999.0
650,3211,M7200,Glass products,Flat glass,X,327211.0,327211.0
651,3221,M7200,Glass products,Glass containers,X,327213.0,327213.0
652,3229,M7200,Glass products,"Pressed and blown glass, NEC",X,327212.0,327212.0
653,3231,M7200,Glass products,Glass products,X,327215.0,327215.0
654,3241,B5100,"Stone, clay, glass & concrete products","Cement, hydraulic",X,327310.0,327310.0
655,3251,B5100,"Stone, clay, glass & concrete products",Brick and structural clay tile,X,327120.0,327121.0
656,3251,B5100,"Stone, clay, glass & concrete products",Brick and structural clay tile,X,327331.0,327331.0
657,3253,B5400,Other construction-related products,Ceramic wall and floor tile,X,327120.0,327122.0
658,3255,B5000,Building materials,Clay refractories,X,327120.0,327124.0
659,3259,B5300,Plumbing & pipe products,"Structural clay products, NEC",X,327120.0,327123.0
660,3261,B5300,Plumbing & pipe products,Vitreous plumbing fixtures,X,327110.0,327111.0
661,3262,M4000,Household & office products,Vitreous china food utensils,X,327110.0,327112.0
662,3263,M4000,Household & office products,Fine earthenware food utensils,X,327110.0,327112.0
663,3264,M2300,Industrial/commercial equipment & materials,Porcelain electrical supplies,X,327110.0,327113.0
664,3269,M4000,Household & office products,"Pottery products, NEC",X,327110.0,327112.0
665,3271,B5100,"Stone, clay, glass & concrete products",Concrete block and brick,X,327331.0,327331.0
666,3272,B5100,"Stone, clay, glass & concrete products","Concrete products, NEC",X,327332.0,327332.0
667,3272,B5100,"Stone, clay, glass & concrete products","Concrete products, NEC",X,327390.0,327390.0
668,3272,B5100,"Stone, clay, glass & concrete products","Concrete products, NEC",X,327999.0,327999.0
669,3273,B5100,"Stone, clay, glass & concrete products",Readymixed concrete,X,327320.0,327320.0
670,3274,B5100,"Stone, clay, glass & concrete products",Lime,X,327410.0,327410.0
671,3275,B5100,"Stone, clay, glass & concrete products",Gypsum products,X,327420.0,327420.0
672,3281,B5100,"Stone, clay, glass & concrete products",Cut stone and stone products,X,327991.0,327991.0
673,3291,B5100,"Stone, clay, glass & concrete products",Abrasive products,X,327910.0,327910.0
674,3291,B5100,"Stone, clay, glass & concrete products",Abrasive products,X,332999.0,332999.0
675,3292,B5100,"Stone, clay, glass & concrete products",Asbestos products,X,327999.0,327999.0
676,3292,B5100,"Stone, clay, glass & concrete products",Asbestos products,X,336340.0,336340.0
677,3292,B5100,"Stone, clay, glass & concrete products",Asbestos products,X,336350.0,336350.0
678,3295,B5100,"Stone, clay, glass & concrete products","Minerals, ground or treated",X,212324.0,212324.0
679,3295,B5100,"Stone, clay, glass & concrete products","Minerals, ground or treated",X,212325.0,212325.0
680,3295,B5100,"Stone, clay, glass & concrete products","Minerals, ground or treated",X,212393.0,212393.0
681,3295,B5100,"Stone, clay, glass & concrete products","Minerals, ground or treated",X,212399.0,212399.0
682,3295,B5100,"Stone, clay, glass & concrete products","Minerals, ground or treated",X,327992.0,327992.0
683,3296,B5100,"Stone, clay, glass & concrete products",Mineral wool,X,327993.0,327993.0
684,3297,B5100,"Stone, clay, glass & concrete products",Nonclay refractories,X,327120.0,327125.0
685,3299,B5100,"Stone, clay, glass & concrete products","Nonmetallic mineral products, NEC",X,327110.0,327112.0
686,3299,B5100,"Stone, clay, glass & concrete products","Nonmetallic mineral products, NEC",X,327420.0,327420.0
687,3299,B5100,"Stone, clay, glass & concrete products","Nonmetallic mineral products, NEC",X,327999.0,327999.0
688,3312,M2100,Steel,Blast furnaces and steel mills,X,324199.0,324199.0
689,3312,M2100,Steel,Blast furnaces and steel mills,X,331110.0,331111.0
690,3312,M2100,Steel,Blast furnaces and steel mills,X,331221.0,331221.0
691,3313,M5000,Fabricated metal products,Electrometallurgical products,X,331110.0,331112.0
692,3315,M5000,Fabricated metal products,Steel wire and related products,X,331222.0,331222.0
693,3315,M5000,Fabricated metal products,Steel wire and related products,X,332618.0,332618.0
694,3316,M2100,Steel,Cold finishing of steel shapes,X,331221.0,331221.0
695,3317,M2100,Steel,Steel pipe and tubes,X,331210.0,331210.0
696,3321,M2000,Heavy industrial manufacturing,Gray iron foundries,X,331511.0,331511.0
697,3322,M2000,Heavy industrial manufacturing,Malleable iron foundries,X,331511.0,331511.0
698,3324,M2100,Steel,Steel investment foundries,X,331512.0,331512.0
699,3325,M2100,Steel,"Steel foundries, NEC",X,331513.0,331513.0
700,3331,M2200,Smelting and non-petroleum refining,Primary copper,X,331410.0,331411.0
701,3334,E1220,Metal mining & processing,Primary aluminum,X,331313.0,331312.0
702,3339,M2200,Smelting and non-petroleum refining,"Primary nonferrous metals, NEC",X,331410.0,331419.0
703,3341,M2200,Smelting and non-petroleum refining,Secondary nonferrous metals,X,331314.0,331314.0
704,3341,M2200,Smelting and non-petroleum refining,Secondary nonferrous metals,X,331420.0,331423.0
705,3341,M2200,Smelting and non-petroleum refining,Secondary nonferrous metals,X,331492.0,331492.0
706,3351,M2000,Heavy industrial manufacturing,Copper rolling and drawing,X,331420.0,331421.0
707,3353,M2000,Heavy industrial manufacturing,"Aluminum sheet, plate, and foil",X,331315.0,331315.0
708,3354,M2000,Heavy industrial manufacturing,Aluminum extruded products,X,331318.0,331316.0
709,3355,M2000,Heavy industrial manufacturing,"Aluminum rolling and drawing, NEC",X,331318.0,331319.0
710,3356,M2000,Heavy industrial manufacturing,"Nonferrous rolling and drawing, NEC",X,331491.0,331491.0
711,3357,M2000,Heavy industrial manufacturing,Nonferrous wire drawing & insulating,X,331318.0,331319.0
712,3357,M2000,Heavy industrial manufacturing,Nonferrous wire drawing & insulating,X,331420.0,331422.0
713,3357,M2000,Heavy industrial manufacturing,Nonferrous wire drawing & insulating,X,331491.0,331491.0
714,3357,M2000,Heavy industrial manufacturing,Nonferrous wire drawing & insulating,X,335921.0,335921.0
715,3357,M2000,Heavy industrial manufacturing,Nonferrous wire drawing & insulating,X,335929.0,335929.0
716,3363,M2000,Heavy industrial manufacturing,Aluminum diecastings,X,331523.0,331521.0
717,3364,M2000,Heavy industrial manufacturing,"Nonferrous diecastings, exc alum",X,331523.0,331522.0
718,3365,E1220,Metal mining & processing,Aluminum foundries,X,331524.0,331524.0
719,3366,E1220,Metal mining & processing,Copper foundries,X,331529.0,331525.0
720,3369,M2000,Heavy industrial manufacturing,"Nonferrous foundries, NEC",X,331529.0,331528.0
721,3398,M2000,Heavy industrial manufacturing,Metal heat treating,X,332811.0,332811.0
722,3399,M5000,Fabricated metal products,"Primary metal products, NEC",X,331110.0,331111.0
723,3399,M5000,Fabricated metal products,"Primary metal products, NEC",X,331221.0,331221.0
724,3399,M5000,Fabricated metal products,"Primary metal products, NEC",X,331314.0,331314.0
725,3399,M5000,Fabricated metal products,"Primary metal products, NEC",X,331420.0,331423.0
726,3399,M5000,Fabricated metal products,"Primary metal products, NEC",X,331492.0,331492.0
727,3399,M5000,Fabricated metal products,"Primary metal products, NEC",X,332618.0,332618.0
728,3399,M5000,Fabricated metal products,"Primary metal products, NEC",X,332813.0,332813.0
729,3411,M7300,Metal cans & containers,Metal cans,X,332431.0,332431.0
730,3412,M7300,Metal cans & containers,"Metal barrels, drums, and pails",X,332439.0,332439.0
731,3421,M5000,Fabricated metal products,Cutlery,X,332215.0,332211.0
732,3421,M5000,Fabricated metal products,Cutlery,X,332216.0,332212.0
733,3423,M5100,Hardware & tools,"Hand and edge tools, NEC",X,332216.0,332212.0
734,3425,M5100,Hardware & tools,Hand saws and saw blades,X,332216.0,332213.0
735,3429,M5100,Hardware & tools,"Hardware, NEC",X,332439.0,332439.0
736,3429,M5100,Hardware & tools,"Hardware, NEC",X,332510.0,332510.0
737,3429,M5100,Hardware & tools,"Hardware, NEC",X,332722.0,332722.0
738,3429,M5100,Hardware & tools,"Hardware, NEC",X,332919.0,332919.0
739,3429,M5100,Hardware & tools,"Hardware, NEC",X,332999.0,332999.0
740,3429,M5100,Hardware & tools,"Hardware, NEC",X,333923.0,333923.0
741,3429,M5100,Hardware & tools,"Hardware, NEC",X,334519.0,334518.0
742,3429,M5100,Hardware & tools,"Hardware, NEC",X,336390.0,336399.0
743,3429,M5100,Hardware & tools,"Hardware, NEC",X,337215.0,337215.0
744,3431,M5000,Fabricated metal products,Metal sanitary ware,X,332999.0,332998.0
745,3432,B5300,Plumbing & pipe products,Plumbing fixture fittings and trim,X,332913.0,332913.0
746,3432,B5300,Plumbing & pipe products,Plumbing fixture fittings and trim,X,332919.0,332919.0
747,3432,B5300,Plumbing & pipe products,Plumbing fixture fittings and trim,X,332999.0,332999.0
748,3433,M5000,Fabricated metal products,"Heating equipment, except electric",X,333414.0,333414.0
749,3441,M5000,Fabricated metal products,Fabricated structural metal,X,332312.0,332312.0
750,3442,B5400,Other construction-related products,"Metal doors, sash, and trim",X,332321.0,332321.0
751,3443,M5000,Fabricated metal products,Fabricated plate work (boiler shops),X,332313.0,332313.0
752,3443,M5000,Fabricated metal products,Fabricated plate work (boiler shops),X,332410.0,332410.0
753,3443,M5000,Fabricated metal products,Fabricated plate work (boiler shops),X,332420.0,332420.0
754,3443,M5000,Fabricated metal products,Fabricated plate work (boiler shops),X,333415.0,333415.0
755,3444,M5000,Fabricated metal products,Sheet metal work,X,332321.0,332321.0
756,3444,M5000,Fabricated metal products,Sheet metal work,X,332322.0,332322.0
757,3444,M5000,Fabricated metal products,Sheet metal work,X,332439.0,332439.0
758,3444,M5000,Fabricated metal products,Sheet metal work,X,333415.0,333415.0
759,3446,M5000,Fabricated metal products,Architectural metal work,X,332323.0,332323.0
760,3448,M5000,Fabricated metal products,Prefabricated metal buildings,X,332311.0,332311.0
761,3449,M5000,Fabricated metal products,Miscellaneous structural metalwork,X,332114.0,332114.0
762,3449,M5000,Fabricated metal products,Miscellaneous structural metalwork,X,332312.0,332312.0
763,3449,M5000,Fabricated metal products,Miscellaneous structural metalwork,X,332323.0,332323.0
764,3451,M5000,Fabricated metal products,Screw machine products,X,332721.0,332721.0
765,3452,M5000,Fabricated metal products,"Bolts, nuts, rivets, and washers",X,332722.0,332722.0
766,3462,M2100,Steel,Iron and steel forgings,X,332111.0,332111.0
767,3463,M2000,Heavy industrial manufacturing,Nonferrous forgings,X,332112.0,332112.0
768,3465,T2200,Truck/Automotive parts & accessories,Automotive stampings,X,336370.0,336370.0
769,3466,M5000,Fabricated metal products,Crowns and closures,X,332119.0,332115.0
770,3469,M5000,Fabricated metal products,"Metal stampings, NEC",X,332119.0,332116.0
771,3469,M5000,Fabricated metal products,"Metal stampings, NEC",X,332215.0,332214.0
772,3469,M5000,Fabricated metal products,"Metal stampings, NEC",X,332439.0,332439.0
773,3471,M5200,"Electroplating, polishing & related services",Plating and polishing,X,332813.0,332813.0
774,3479,M5200,"Electroplating, polishing & related services",Metal coating and allied services,X,332812.0,332812.0
775,3479,M5200,"Electroplating, polishing & related services",Metal coating and allied services,X,339910.0,339911.0
776,3479,M5200,"Electroplating, polishing & related services",Metal coating and allied services,X,339910.0,339912.0
777,3479,M5200,"Electroplating, polishing & related services",Metal coating and allied services,X,339910.0,339914.0
778,3482,M5300,Small arms & ammunition,Small arms ammunition,X,332992.0,332992.0
779,3483,M5300,Small arms & ammunition,"Ammunition, exc for small arms, NEC",X,332993.0,332993.0
780,3484,M5300,Small arms & ammunition,Small arms,X,332994.0,332994.0
781,3489,M5300,Small arms & ammunition,"Ordnance and accessories, NEC",X,332994.0,332995.0
782,3491,M5000,Fabricated metal products,Industrial valves,X,332911.0,332911.0
783,3492,M5000,Fabricated metal products,Fluid power valves and hose fittings,X,332912.0,332912.0
784,3493,M5000,Fabricated metal products,"Steel springs, except wire",X,332613.0,332611.0
785,3494,M5000,Fabricated metal products,"Valves and pipe fittings,nec",X,332919.0,332919.0
786,3494,M5000,Fabricated metal products,"Valves and pipe fittings,nec",X,332999.0,332999.0
787,3495,M5000,Fabricated metal products,Wire springs,X,332613.0,332612.0
788,3495,M5000,Fabricated metal products,Wire springs,X,334519.0,334518.0
789,3496,M5000,Fabricated metal products,"Fabricated wire products, misc",X,332215.0,332214.0
790,3496,M5000,Fabricated metal products,"Fabricated wire products, misc",X,332618.0,332618.0
791,3496,M5000,Fabricated metal products,"Fabricated wire products, misc",X,333924.0,333924.0
792,3497,M5000,Fabricated metal products,Metal foil and leaf,X,322220.0,322225.0
793,3497,M5000,Fabricated metal products,Metal foil and leaf,X,332999.0,332999.0
794,3498,M5000,Fabricated metal products,Fabricated pipe and fittings,X,332996.0,332996.0
795,3499,M5000,Fabricated metal products,"Fabricated metal products, NEC",X,332117.0,332117.0
796,3499,M5000,Fabricated metal products,"Fabricated metal products, NEC",X,332439.0,332439.0
797,3499,M5000,Fabricated metal products,"Fabricated metal products, NEC",X,332510.0,332510.0
798,3499,M5000,Fabricated metal products,"Fabricated metal products, NEC",X,332919.0,332919.0
799,3499,M5000,Fabricated metal products,"Fabricated metal products, NEC",X,332999.0,332999.0
800,3499,M5000,Fabricated metal products,"Fabricated metal products, NEC",X,336360.0,336360.0
801,3499,M5000,Fabricated metal products,"Fabricated metal products, NEC",X,337215.0,337215.0
802,3511,M2300,Industrial/commercial equipment & materials,Turbines and turbine generator sets,X,333611.0,333611.0
803,3519,M2300,Industrial/commercial equipment & materials,"Internal combustion engines, NEC",X,333618.0,333618.0
804,3519,M2300,Industrial/commercial equipment & materials,"Internal combustion engines, NEC",X,336390.0,336399.0
805,3523,A4200,Farm machinery & equipment,Farm machinery and equipment,X,332216.0,332212.0
806,3523,A4200,Farm machinery & equipment,Farm machinery and equipment,X,332323.0,332323.0
807,3523,A4200,Farm machinery & equipment,Farm machinery and equipment,X,333111.0,333111.0
808,3523,A4200,Farm machinery & equipment,Farm machinery and equipment,X,333922.0,333922.0
809,3524,M4000,Household & office products,Lawn and garden equipment,X,332216.0,332212.0
810,3524,M4000,Household & office products,Lawn and garden equipment,X,333112.0,333112.0
811,3531,B6000,Construction equipment,Construction machinery and equipment,X,333120.0,333120.0
812,3531,B6000,Construction equipment,Construction machinery and equipment,X,333923.0,333923.0
813,3531,B6000,Construction equipment,Construction machinery and equipment,X,336510.0,336510.0
814,3532,E1240,Mining services & equipment,Mining machinery,,333131.0,333131.0
815,3533,E1150,"Oilfield service, equipment & exploration",Oil and gas field machinery,X,333132.0,333132.0
816,3534,B5400,Other construction-related products,Elevators and moving stairways,X,333921.0,333921.0
817,3535,M2300,Industrial/commercial equipment & materials,Conveyors and conveying equipment,X,333922.0,333922.0
818,3536,M2300,Industrial/commercial equipment & materials,"Hoists, cranes and monorails",X,333923.0,333923.0
819,3537,T3200,Truck & trailer manufacturers,Industrial trucks and tractors,X,332439.0,332439.0
820,3537,T3200,Truck & trailer manufacturers,Industrial trucks and tractors,X,332999.0,332999.0
821,3537,T3200,Truck & trailer manufacturers,Industrial trucks and tractors,X,333924.0,333924.0
822,3541,M2300,Industrial/commercial equipment & materials,"Machine tools, metal cutting types",X,333517.0,333512.0
823,3542,M2300,Industrial/commercial equipment & materials,"Machine tools, metal forming types",X,333517.0,333513.0
824,3543,M2300,Industrial/commercial equipment & materials,Industrial patterns,X,332999.0,332997.0
825,3544,M2300,Industrial/commercial equipment & materials,"Special dies, tools, jigs & fixtures",X,333511.0,333511.0
826,3544,M2300,Industrial/commercial equipment & materials,"Special dies, tools, jigs & fixtures",X,333514.0,333514.0
827,3545,M2300,Industrial/commercial equipment & materials,Machine tool accessories,X,332216.0,332212.0
828,3545,M2300,Industrial/commercial equipment & materials,Machine tool accessories,X,333515.0,333515.0
829,3546,M5100,Hardware & tools,Powerdriven handtools,X,333991.0,333991.0
830,3547,M2300,Industrial/commercial equipment & materials,Rolling mill machinery,X,333519.0,333516.0
831,3548,M2300,Industrial/commercial equipment & materials,Welding apparatus,X,333992.0,333992.0
832,3548,M2300,Industrial/commercial equipment & materials,Welding apparatus,X,335311.0,335311.0
833,3549,M2300,Industrial/commercial equipment & materials,"Metalworking machinery, NEC",X,333519.0,333518.0
834,3552,M8000,Textiles & fabrics,Textile machinery,X,333249.0,333292.0
835,3553,M2300,Industrial/commercial equipment & materials,Woodworking machinery,X,333243.0,333210.0
836,3554,M2300,Industrial/commercial equipment & materials,Paper industries machinery,X,333243.0,333291.0
837,3555,M2300,Industrial/commercial equipment & materials,Printing trades machinery,X,333244.0,333293.0
838,3556,M2300,Industrial/commercial equipment & materials,Food products machinery,X,333241.0,333294.0
839,3559,M2300,Industrial/commercial equipment & materials,"Special industry machinery, NEC",X,332410.0,332410.0
840,3559,M2300,Industrial/commercial equipment & materials,"Special industry machinery, NEC",X,333111.0,333111.0
841,3559,M2300,Industrial/commercial equipment & materials,"Special industry machinery, NEC",X,333242.0,333295.0
842,3559,M2300,Industrial/commercial equipment & materials,"Special industry machinery, NEC",X,333249.0,333220.0
843,3559,M2300,Industrial/commercial equipment & materials,"Special industry machinery, NEC",X,333249.0,333298.0
844,3559,M2300,Industrial/commercial equipment & materials,"Special industry machinery, NEC",X,333318.0,333319.0
845,3561,M2300,Industrial/commercial equipment & materials,Pumps and pumping equipment,X,333911.0,333911.0
846,3562,M5000,Fabricated metal products,Ball and roller bearings,X,332991.0,332991.0
847,3563,M2300,Industrial/commercial equipment & materials,Air and gas compressors,X,333912.0,333912.0
848,3564,M2300,Industrial/commercial equipment & materials,Blowers and fans,X,333413.0,333411.0
849,3564,M2300,Industrial/commercial equipment & materials,Blowers and fans,X,333413.0,333412.0
850,3565,M2300,Industrial/commercial equipment & materials,Packaging machinery,X,333993.0,333993.0
851,3566,M2300,Industrial/commercial equipment & materials,"Speed changers, drives, and gears",X,333612.0,333612.0
852,3567,M2300,Industrial/commercial equipment & materials,Industrial process furnaces and ovens,X,333994.0,333994.0
853,3568,M2300,Industrial/commercial equipment & materials,"Power transmission equipment, NEC",X,333613.0,333613.0
854,3569,M2300,Industrial/commercial equipment & materials,"General industrial machinery, NEC",X,314999.0,314999.0
855,3569,M2300,Industrial/commercial equipment & materials,"General industrial machinery, NEC",X,333414.0,333414.0
856,3569,M2300,Industrial/commercial equipment & materials,"General industrial machinery, NEC",X,333999.0,333999.0
857,3571,C5110,"Computers, components & accessories",Electronic computers,X,334111.0,334111.0
858,3572,C5110,"Computers, components & accessories",Computer storage devices,X,334112.0,334112.0
859,3575,C5110,"Computers, components & accessories",Computer terminals,X,334118.0,334113.0
860,3577,C5110,"Computers, components & accessories","Computer peripheral equipment, NEC",X,333316.0,334119.0
861,3577,C5110,"Computers, components & accessories","Computer peripheral equipment, NEC",X,334118.0,334119.0
862,3577,C5110,"Computers, components & accessories","Computer peripheral equipment, NEC",X,334418.0,334418.0
863,3577,C5110,"Computers, components & accessories","Computer peripheral equipment, NEC",X,334613.0,334613.0
864,3578,M4200,Office machines,Calculating and accounting equipment,X,333316.0,334119.0
865,3578,M4200,Office machines,Calculating and accounting equipment,X,334118.0,334119.0
866,3578,M4200,Office machines,Calculating and accounting equipment,X,333318.0,333311.0
867,3578,M4200,Office machines,Calculating and accounting equipment,X,333318.0,333313.0
868,3579,M4200,Office machines,"Office machines, NEC",X,333318.0,333313.0
869,3579,M4200,Office machines,"Office machines, NEC",X,334519.0,334518.0
870,3579,M4200,Office machines,"Office machines, NEC",X,339940.0,339942.0
871,3581,M2300,Industrial/commercial equipment & materials,Automatic vending machines,X,333318.0,333311.0
872,3582,M2300,Industrial/commercial equipment & materials,"Laundry equipment, commercial",X,333318.0,333312.0
